# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount
matchCountNumber1To3,training,15,0,0,190,19,10,6,1331,221.83333333333334,60,60,10,9,641,64.1,100,32,10,15,1972,56.34285714285714,350,111,10
missingBRandomAAndB50To99AL,speedrun,16,0,0,90,18,5,10,537,48.81818181818182,55,55,5,4,87,21.75,20,12,5,16,624,18.90909090909091,165,85,5
stackDomesticAndWildAnimal,training,16,0,0,190,19,10,7,1071,153,70,69,10,7,351,43.875,80,19,10,16,1422,41.8235294117647,340,107,10
stackTensAndOnes20UpTo502AL,speedrun,16,0,0,100,20,5,14,1319,82.4375,80,75,5,0,0,0,0,0,0,16,1319,36.638888888888886,180,95,5
matchAudioByColorSet3And4,training,16,0,0,240,24,10,9,876,87.6,100,87,10,4,511,73,70,21,10,16,1387,33.829268292682926,410,132,10
patternBasicFruits,training,14,0,0,240,24,10,3,420,105,40,38,10,11,744,57.23076923076923,130,52,10,14,1164,28.390243902439025,410,114,10
summarizeTheSentences1AL,speedrun,13,0,0,96,24,4,12,666,33.3,80,80,4,1,71,35.5,8,5,4,13,737,16.02173913043478,184,109,4
introPatternExample,training,12,0,0,15,15,1,11,223,18.583333333333332,12,12,1,2,9,4.5,2,2,1,12,232,8,29,29,1
matchBasicShapeTiles,speedrun,12,0,0,200,20,10,10,1892,118.25,160,118,10,3,50,16.666666666666668,30,9,10,12,1942,49.794871794871796,390,147,10
smallBigUpTo50Number2AL,training,13,0,0,85,17,5,11,995,71.07142857142857,70,70,5,1,60,60,5,4,5,13,1055,32.96875,160,91,5
stackVegetablesAndFruitsSet1,training,12,0,0,170,17,10,7,2052,228,90,90,10,5,225,37.5,60,15,10,12,2277,71.15625,320,122,10
matchCountAudio7To9,training,12,0,0,96,16,6,8,1118,111.8,60,50,6,3,181,60.333333333333336,18,9,6,12,1299,44.793103448275865,174,75,6
matchEdgesCorners22AL,speedrun,11,0,0,60,12,5,11,542,49.27272727272727,55,49,5,1,84,84,5,5,5,11,626,26.083333333333332,120,66,5
matchTopBottomFirst,training,11,0,0,140,14,10,4,435,108.75,40,40,10,8,115,12.777777777777779,90,18,10,11,550,20.37037037037037,270,72,10
matrixMultiplicationRandomNumbers3AL,speedrun,12,0,0,85,17,5,10,1940,129.33333333333334,75,75,5,1,132,132,5,4,5,12,2072,62.78787878787879,165,96,5
sortMusicalInstruments,training,14,0,0,220,22,10,5,841,105.125,80,66,10,4,78,15.6,50,12,10,14,919,26.257142857142856,350,100,10
matchEdgesCorners22AL,training,11,0,0,60,12,5,11,867,72.25,60,60,5,0,0,0,0,0,0,11,867,36.125,120,72,5
matchMusicalInstrumentsIndian,speedrun,10,0,0,120,12,10,8,330,41.25,80,63,10,4,138,34.5,40,18,10,10,468,19.5,240,93,10
smallBigUpTo50Number2AL,speedrun,11,0,0,70,14,5,11,621,47.76923076923077,65,62,5,0,0,0,0,0,0,11,621,23,135,76,5
dataHandlingMatchCountGroupedFruits,training,10,0,0,110,11,10,4,320,80,40,35,10,6,294,42,70,13,10,10,614,27.90909090909091,220,59,10
moneyComposition1And2ForNumbers,training,10,0,0,64,16,4,6,1215,151.875,32,31,4,4,427,85.4,20,10,4,10,1642,56.62068965517241,116,57,4
fillSubtractionStaticB3UpTo52AL,training,10,0,0,33,11,3,8,369,41,27,27,3,1,23,23,3,1,3,10,392,18.666666666666668,63,39,3
placeValueMatrix1AL,training,10,0,0,68,17,4,8,859,61.357142857142854,56,56,4,1,18,18,4,1,4,10,877,27.40625,128,74,4
recognizingBigSmallWithAudio,training,10,0,0,110,11,10,4,347,86.75,40,37,10,5,189,37.8,50,18,10,10,536,26.8,200,66,10
givenSmartChartScale6AL,training,9,0,0,72,12,6,5,500,100,30,30,6,4,945,189,30,8,6,9,1445,65.68181818181819,132,50,6
matchColorTilesOne,training,9,0,0,110,11,10,3,287,71.75,40,40,10,6,133,22.166666666666668,60,17,10,9,420,20,210,68,10
matchCornersOfObjects,training,9,0,0,210,21,10,6,943,67.35714285714286,140,112,10,3,243,81,30,12,10,9,1186,31.210526315789473,380,145,10
patternBasicFoods2AL,training,9,0,0,50,10,5,8,631,70.11111111111111,45,45,5,1,9,9,5,2,5,9,640,32,100,57,5
reviseDivideTable8And9AL,training,9,0,0,120,12,10,8,996,110.66666666666667,90,90,10,1,24,24,10,1,10,9,1020,46.36363636363637,220,103,10
